name,group,flash_point,spcode,replicate,%area
b-Myrcene,monoterpene,39.4,abma,3,NA
a-Phellandrene,cyclic monoterpene,47.2,abma,3,23.79
D-Limonene,cyclic monoterpene,50,abma,3,NA
c-Terpinene,cyclic monoterpene,100,abma,3,NA
2-Carene,bicyclic monoterpene,38,abma,3,NA
Terpinolene,cyclic monoterpene,100,abma,3,NA
Pinocarvone,bicyclic monoterpene,85,abma,3,NA
Terpinen-4-ol,monoterpene alcohol / monocyclic monoterpenoid,79.4,abma,3,NA
Crypton ,Ketone,87.2,abma,3,NA
Dodecanal,Fatty aldehyde,114,abma,3,2.92
(1R)-(-)-Myrtenal,terpene aldehyde,80,abma,3,NA
Eucarvone,monocyclic monoterpenoid,90,abma,3,NA
I-Verbenone,bicyclic ketone terpene,85,abma,3,NA
a-Citrylideneethanol,NA,104.5,abma,3,NA
"4,6-Heptadienoic acid, 3, 3, 6-trimethyl-, methyl ester",NA,68.1,abma,3,NA
"Cyclohexanecarboxylic acid, 2-(2-propenyl)-, methyl ester",NA,82.6,abma,3,NA
Phellandral,monocyclic terpene aldehyde,83.6,abma,3,NA
2-Undecanone,Ketone,88.9,abma,3,2.41
"Tricyclo[3, 2,2,0]nonane-2-carboxylic acid",NA,136.5,abma,3,NA
Terpinyl acetate,methane monoterpenoid,83,abma,3,NA
delta-elemene,sesquiterpene,99.5,abma,3,NA
Ylangene,sesquiterpenoid,105.1,abma,3,NA
Copaene,sesquiterpenoid,105.1,abma,3,NA
Thujopsene,sesquiterpene,105.9,abma,3,NA
cis-beta-elemene,sesquiterpene,98.3,abma,3,NA
Caryophyllene,sesquiterpene,104.9,abma,3,5.50
a-bergamotene,sesquiterpene,100.6,abma,3,NA
trans-Sesquisabinene hydrate,sesquiterpenoid,125.4,abma,3,NA
trans-Geranylacetone,acyclic monoterpenoid ketone,107.2,abma,3,NA
(-)-Aristolene,sesquiterpene,99.9,abma,3,NA
Longifolene-(V4),sesquiterpene,95.6,abma,3,NA
Humulene,sesquiterpene,110.2,abma,3,NA
c-Muurolene,sesquiterpene,106.5,abma,3,NA
Germacrene D,sesquiterpene,111.9,abma,3,NA
7-Isopropenyl-1-methyl-4-methylenedecahydroazulene,sesquiterpene,105.1,abma,3,NA
a-selinene,sesquiterpene,102,abma,3,NA
a-cuparene,benzene,113.3,abma,3,NA
cis-5-Dodecenoic acid,fatty acid,207.6,abma,3,NA
2-Hydroxycyclopentadecanone,NA,162.8,abma,3,NA
Dodecanoic acid,fatty acid,165,abma,3,NA
Hedycaryol,terpenoid,110.9,abma,3,NA
(-)-Spathulenol,sesquiterpenoid,123.9,abma,3,NA
Caryophyllene oxide,epoxide sesquiterpene,119.7,abma,3,NA
b-eudesmol,terpene alcohol,108.6,abma,3,NA
Z-11-Tetradecenoic acid,NA,235.3,abma,3,3.33
Z-11-Pentadecenol,NA,128.6,abma,3,NA
Hexahydrofarnesyl acetone,NA,95.1,abma,3,3.33
Geranyl-a-terpinene,NA,NA,abma,3,NA
Palmitoleic acid ,NA,239.2,abma,3,NA
Sclareol,labdane diterpenoid,169%,abma,3,7.65
3-carene,bicyclic monoterpene,46,abma,4,NA
a-pinene,monoterpene,33,abma,4,18.13
b-pinene,monoterpene,36,abma,4,NA
b-Myrcene,monoterpene,39.4,abma,4,NA
a-Phellandrene,cyclic monoterpene,47.2,abma,4,33.15
D-Limonene,cyclic monoterpene,50,abma,4,NA
c-Terpinene,cyclic monoterpene,100,abma,4,NA
2-Carene,bicyclic monoterpene,38,abma,4,NA
Terpinolene,cyclic monoterpene,100,abma,4,NA
Pinocarvone,bicyclic monoterpene,85,abma,4,NA
Terpinen-4-ol,monoterpene alcohol / monocyclic monoterpenoid,79.4,abma,4,NA
Crypton ,Ketone,87.2,abma,4,NA
Dodecanal,Fatty aldehyde,114,abma,4,NA
(1R)-(-)-Myrtenal,terpene aldehyde,80,abma,4,NA
Eucarvone,monocyclic monoterpenoid,90,abma,4,NA
I-Verbenone,bicyclic ketone terpene,85,abma,4,NA
a-Citrylideneethanol,NA,104.5,abma,4,NA
"4,6-Heptadienoic acid, 3, 3, 6-trimethyl-, methyl ester",NA,68.1,abma,4,NA
"Cyclohexanecarboxylic acid, 2-(2-propenyl)-, methyl ester",NA,82.6,abma,4,NA
Phellandral,monocyclic terpene aldehyde,83.6,abma,4,NA
2-Undecanone,Ketone,88.9,abma,4,NA
"Tricyclo[3, 2,2,0]nonane-2-carboxylic acid",NA,136.5,abma,4,NA
Terpinyl acetate,methane monoterpenoid,83,abma,4,NA
delta-elemene,sesquiterpene,99.5,abma,4,NA
Ylangene,sesquiterpenoid,105.1,abma,4,7.30
Copaene,sesquiterpenoid,105.1,abma,4,NA
Thujopsene,sesquiterpene,105.9,abma,4,NA
cis-beta-elemene,sesquiterpene,98.3,abma,4,NA
Caryophyllene,sesquiterpene,104.9,abma,4,6.89
a-bergamotene,sesquiterpene,100.6,abma,4,NA
trans-Sesquisabinene hydrate,sesquiterpenoid,125.4,abma,4,NA
trans-Geranylacetone,acyclic monoterpenoid ketone,107.2,abma,4,NA
(-)-Aristolene,sesquiterpene,99.9,abma,4,5.84
Longifolene-(V4),sesquiterpene,95.6,abma,4,NA
Humulene,sesquiterpene,110.2,abma,4,NA
c-Muurolene,sesquiterpene,106.5,abma,4,NA
Germacrene D,sesquiterpene,111.9,abma,4,NA
7-Isopropenyl-1-methyl-4-methylenedecahydroazulene,sesquiterpene,105.1,abma,4,15.06
a-selinene,sesquiterpene,102,abma,4,NA
a-cuparene,benzene,113.3,abma,4,NA
cis-5-Dodecenoic acid,fatty acid,207.6,abma,4,NA
2-Hydroxycyclopentadecanone,NA,162.8,abma,4,NA
Dodecanoic acid,fatty acid,165,abma,4,NA
Hedycaryol,terpenoid,110.9,abma,4,NA
(-)-Spathulenol,sesquiterpenoid,123.9,abma,4,NA
Caryophyllene oxide,epoxide sesquiterpene,119.7,abma,4,NA
b-eudesmol,terpene alcohol,108.6,abma,4,NA
Z-11-Tetradecenoic acid,NA,235.3,abma,4,NA
Z-11-Pentadecenol,NA,128.6,abma,4,NA
