nid,spcode,moisture,MC_dry,actualMC_dry,day,month,year,time,t2ignit,ignit.x,ignit.y,sustain,combust,consum.x,consum.y,spread.x,spread.y,rh,temp,hour,T_C
141,Quke,20,25,24.8,11,8,2015,12:00,2.66,1,1,292.44,790,90.55,95.28,5.357,0.535714286,49.6,88.5,96,31.4
142,Quke,25,35,29.8,17,8,2015,14:13,1.91,1,1,323.75,860,83.75,91.88,5.165,0.516528926,35.6,87.7,96,30.9
143,Quke,25,35,30.5,17,8,2015,15:27,2.18,1,1,299.26,880,82.1,91.05,5.23,0.523030789,33,91.1,96,32.8
144,Quke,25,35,29.4,20,8,2015,10:59,1.83,1,1,288.49,920,92.85,96.43,5.688,0.568785075,47.4,72.9,96,22.7
145,Quke,25,35,32.4,20,8,2015,13:20,2.23,1,1,366.04,840,77.85,88.93,4.55,0.455041864,49.1,75.3,96,24.1
146,Quke,25,35,41.1,20,8,2015,14:39,2.38,1,1,653.43,730,68.8,84.4,2.682,0.268158822,45.6,80.4,96,26.9
147,Quke,30,45,44.4,27,7,2015,10:31,4.41,1,1,274.6,1110,88.8,94.4,7.022,0.702247191,54.3,85.1,96,29.5
148,Quke,30,45,25.5,27,7,2015,13:49,1.58,1,1,249.4,1070,88.9,94.45,8.591,0.859106529,37.8,98,96,36.7
149,Quke,30,45,42.5,17,8,2015,13:48,4.05,1,1,416.99,670,78.2,89.1,3.764,0.376354878,38.5,86.2,96,30.1
150,Quke,30,45,37.6,17,8,2015,15:06,2.73,1,1,276.94,840,70,85,5.864,0.586395622,31.2,93,96,33.9
151,Quke,30,45,47,20,8,2015,11:41,6.21,1,1,484.74,690,14.15,57.08,3.292000439,0.329200044,46.3,76.4,96,24.7
152,Quke,35,55,53.3,20,8,2015,12:32,2.5,1,1,167.21,540,11.7,61.95,2.033,0.203337121,48.6,76,96,24.4
153,Quke,35,55,62.7,20,8,2015,14:11,8.42,1,1,98.33,550,5.4,59.85,2.848,0.284755415,46.5,78.2,96,25.7
154,Quke,35,55,54.9,31,8,2015,13:07,2.71,0,0,0,0,0,0,0,0,30,86.9,96,30.5
155,Quke,35,55,57,31,8,2015,14:52,2.73,1,1,96.91,350,10.1,55.05,4.643,0.464348364,26.3,92.8,96,33.8
156,Quke,40,65,76.8,26,5,2015,12:10,9.3,1,1,154.37,410,17.2,58.6,2.76,0.259117704,40.4,75.1,72,23.9
157,Quke,40,65,74.3,31,8,2015,13:35,8.33,1,1,400.12,480,14.4,56.88,1.546,0.242427272,31.8,87.8,72,31
158,Quke,40,65,58.2,31,8,2015,15:19,8.1,1,1,88.66,380,3.5,14.88,1.692,0.169185653,28.3,91.3,72,32.9
159,Segi,10,10,12.5,4,5,2015,12:11,15.9,1,1,678.48,250,19.8,19.78,0.39,0.038320953,60.2,73.8,72,23.2
160,Segi,10,10,11.4,4,5,2015,14:15,9.77,1,1,842.48,480,19.9,19.93,0.32,0.032048239,49.1,77.4,72,25.2
161,Segi,10,10,10.5,27,7,2015,12:06,7.3,1,1,2334.4,540,62.6,57.93,0.488,0.048834818,46.7,92.7,72,33.7
162,Segi,10,10,12.4,27,7,2015,14:56,9.98,1,1,2202.9,640,89.4,88.05,0.74,0.07397544,34.7,98.6,72,37
163,Segi,10,10,14.6,3,8,2015,10:46,19.42,1,1,1168.34,460,19.3,18.2,0.368,0.036804355,57.1,83.4,72,28.6
164,Segi,15,20,21.3,31,8,2015,11:50,8.7,0,0,0,0,0,0,0,0,38.6,85.4,48,29.7
165,Segi,15,20,19.6,31,8,2015,14:02,8.3,0,0,0,0,0,100,0,0,28.6,90.1,48,32.3
166,Segi,15,20,16.5,11,9,2015,10:56,7.65,0,0,0,0,0,0,0,0,39.4,80.5,48,26.9
167,Segi,20,25,21.6,20,8,2015,11:11,7.73,0,0,0,0,0,0,0,0,46.7,74.2,48,23.4
168,Segi,20,25,30.9,20,8,2015,13:33,13.5,0,0,0,0,0,0,0,0,47.4,76.5,48,24.7
169,Segi,20,25,30.2,25,8,2015,12:08,10.05,0,0,0,0,0,0,0,0,49.7,87.1,48,30.6
170,Segi,30,45,NA,29,7,2015,14:51,180,0,NA,NA,NA,0,NA,0,NA,40.3,95.8,NA,NA
171,Segi,30,45,43,3,8,2015,13:22,15.97,0,0,0,0,0,0,0,0,45.1,92.6,0,33.7
172,Segi,30,45,41.5,3,8,2015,15:02,15.02,0,0,0,150,0,100,0,0,40.7,94.4,0,34.7
173,Segi,35,55,NA,0,0,2015,2:00,180,0,NA,NA,NA,0,NA,0,NA,33.3,100.4,NA,NA
174,Segi,40,65,NA,0,0,2015,3:00,180,0,NA,NA,NA,0,NA,0,NA,33.3,100.4,NA,NA
175,Cade,NA,10,NA,NA,NA,NA,NA,24.04,NA,0,0,0,NA,0,NA,0,50.5,NA,144,24.7
176,Pije,NA,35,NA,NA,NA,NA,NA,10.75,NA,1,730.13,450,NA,8.4,NA,0.072589813,42.9,NA,24,27.7
177,Pije,NA,55,NA,NA,NA,NA,NA,7.2,NA,1,332.58,430,NA,0,NA,0.090203861,41.1,NA,24,27.1
178,Pije,NA,55,NA,NA,NA,NA,NA,8.83,NA,1,60.63,380,NA,4.49,NA,0.090714168,37.2,NA,24,30.3
179,Pije,NA,65,NA,NA,NA,NA,NA,7.7,NA,1,102.22,410,NA,6.44,NA,0.107611035,38.2,NA,0,30
180,Pije,NA,65,NA,NA,NA,NA,NA,4.98,NA,1,72.2,380,NA,1.87,NA,0.090027701,46.6,NA,0,27.8
181,Pije,NA,65,NA,NA,NA,NA,NA,13.8,NA,0,0,0,NA,0,NA,0,45.9,NA,0,28.6
182,Pije,NA,65,NA,NA,NA,NA,NA,10.93,NA,0,0,0,NA,0,NA,0,53.1,NA,0,24.5
183,Pila,NA,20,24.3,NA,NA,NA,NA,5.18,NA,1,527.69,730,NA,23.23,NA,0.18287252,39,NA,72,34
184,Pila,NA,35,NA,NA,NA,NA,NA,5.86,NA,1,128.74,330,NA,6.58,NA,0.081559733,49.3,NA,48,27.3
185,Pipo,NA,20,15.8,NA,NA,NA,NA,3.95,NA,1,861.86,980,NA,70.3,NA,0.195353199,57.1,NA,72,27.3
186,Pipo,NA,35,NA,NA,NA,NA,NA,8.6,NA,1,240.57,460,NA,2.9,NA,0.099763063,47.5,NA,48,26.9
187,Pipo,NA,35,NA,NA,NA,NA,NA,5.68,NA,1,716.54,880,NA,19.73,NA,0.101878472,40.9,NA,48,29.2
188,Pipo,NA,35,NA,NA,NA,NA,NA,5.43,NA,1,170.35,430,NA,26.48,NA,0.088054006,36.6,NA,48,30.6
189,Pipo,NA,55,NA,NA,NA,NA,NA,5.15,NA,1,430.29,480,NA,0.275,NA,0.137116828,44.5,NA,24,28.3
190,Pipo,NA,55,NA,NA,NA,NA,NA,8.15,NA,1,88.99,470,NA,1.51,NA,0.123609394,37.9,NA,24,30
191,Pipo,NA,55,NA,NA,NA,NA,NA,6.41,NA,1,163.69,200,NA,1.93,NA,0.048872869,47.4,NA,24,27.4
192,Pipo,NA,55,NA,NA,NA,NA,NA,4.91,NA,1,155.35,39,NA,7.51,NA,0.115867396,46.4,NA,24,28.1
193,Pipo,NA,55,NA,NA,NA,NA,NA,11.63,NA,1,153.34,300,NA,1.8,NA,0.045650189,52.9,NA,24,24.7
194,Pipo,NA,65,NA,NA,NA,NA,NA,6.95,NA,1,81.14,240,NA,2.67,NA,0.073946266,46,NA,0,28.2
195,Pipo,NA,65,NA,NA,NA,NA,NA,4.63,NA,0,0,0,NA,0,NA,0,46,NA,0,28.4
196,Pipo,NA,65,NA,NA,NA,NA,NA,11.25,NA,0,0,0,NA,0,NA,0,54.1,NA,0,24.7
197,Pipo,NA,65,NA,NA,NA,NA,NA,11.15,NA,0,0,0,NA,0,NA,0,50.4,NA,0,24.7
198,Quke,NA,20,16.8,NA,NA,NA,NA,4,NA,1,356.61,970,NA,86.05,NA,0.496310757,60.1,NA,96,26.3
199,Quke,NA,55,NA,NA,NA,NA,NA,8.88,NA,1,182.33,520,NA,53.7,NA,0.279712609,42.3,NA,96,29.1
200,Quke,NA,65,NA,NA,NA,NA,NA,5.58,NA,1,88.32,310,NA,53.33,NA,0.215126812,45.6,NA,72,27.9
201,Quke,NA,65,NA,NA,NA,NA,NA,3.24,NA,1,63.53,370,NA,53.08,NA,0.22036833,38.1,NA,72,29.9
202,Segi,NA,45,43.8,NA,NA,NA,NA,0,NA,0,0,0,NA,100,NA,0,40.3,NA,0,35.4
