hour,rep,wet_weight,dry_weight,spcode,MC_wet,MC_dry,bd
44,4_2,12.5,10.7,Abco,14.4,16.8,0.046921922
44,4_3,12.7,11.3,Abco,11,12.4,0.046921922
44,4_1,12.8,11.2,Abma,12.5,14.3,0.045687135
44,4_2,12.6,10.8,Abma,14.3,16.7,0.045687135
44,4_3,12,10.6,Abma,11.7,13.2,0.045687135
44,4_1,12.9,10.4,Cade,19.4,24,0.097554631
44,4_2,12.4,9,Cade,27.4,37.8,0.097554631
44,4_3,12.7,9.4,Cade,26,35.1,0.097554631
44,4_1,11.7,10.7,Pije,8.5,9.3,0.026260504
44,4_2,11.2,10.2,Pije,8.9,9.8,0.026260504
44,4_3,10.3,9.6,Pije,6.8,7.3,0.026260504
44,4_1,13.6,10.9,Pila,19.9,24.8,0.027300524
44,4_2,12.7,11.4,Pila,10.2,11.4,0.027300524
44,4_3,11.9,7.9,Pila,33.6,50.6,0.027300524
44,4_1,12.8,11.6,Pipo,9.4,10.3,0.027032872
44,4_2,11.5,10.7,Pipo,7,7.5,0.027032872
44,4_3,12.2,11.1,Pipo,9,9.9,0.027032872
44,4_1,10.5,3.1,Quke,70.5,238.7,0.026074259
44,4_2,14.6,4.9,Quke,66.4,198,0.026074259
44,4_3,13.3,4.8,Quke,63.9,177.1,0.026074259
44,4_1,12.9,11.5,Segi,10.9,12.2,0.079584041
44,4_2,12.4,11,Segi,11.3,12.7,0.079584041
44,4_3,13,11.4,Segi,12.3,14,0.079584041
65,4_1,10.6,9.1,Abco,14.2,16.5,0.043402778
65,4_2,10.9,9.8,Abco,10.1,11.2,0.043402778
65,4_3,10.6,9.7,Abco,8.5,9.3,0.043402778
65,4_1,13,11.5,Abma,11.5,13,0.041834003
65,4_2,13.7,12,Abma,12.4,14.2,0.041834003
65,4_3,13.4,11.9,Abma,11.2,12.6,0.041834003
65,4_1,12.9,10,Cade,22.5,29,0.090274434
65,4_2,14.4,10.1,Cade,29.9,42.6,0.090274434
65,4_3,13.5,11.4,Cade,15.6,18.4,0.090274434
65,4_1,10.7,9.7,Pije,9.3,10.3,0.025531046
65,4_2,10.5,9.5,Pije,9.5,10.5,0.025531046
65,4_3,10.3,9.6,Pije,6.8,7.3,0.025531046
65,4_1,11.3,10.1,Pila,10.6,11.9,0.026770417
65,4_2,10.7,9.3,Pila,13.1,15.1,0.026770417
65,4_3,11.7,10.2,Pila,12.8,14.7,0.026770417
65,4_1,12.3,11.1,Pipo,9.8,10.8,0.026260504
65,4_2,12.6,11.4,Pipo,9.5,10.5,0.026260504
65,4_3,12.9,11.9,Pipo,7.8,8.4,0.026260504
65,4_1,13.3,5.4,Quke,59.4,146.3,0.025267839
65,4_2,13.9,5.3,Quke,61.9,162.3,0.025267839
65,4_3,13.7,6.2,Quke,54.7,121,0.025267839
65,4_1,10.4,10.2,Segi,1.9,2,0.078550482
65,4_2,10.1,9.5,Segi,5.9,6.3,0.078550482
65,4_3,11.3,9.2,Segi,18.6,22.8,0.078550482
72,4_1,10.7,9.6,Cade,10.3,11.5,0.087657784
