tag,spcode,year,alt,asp,li,lf,ldrate,lti,ltf,ltdrate,wi,wf,wdrate,display.name
169,Pipo,2,l,s,219.5625,104.005,0.373598978,283.4888075,92.5183462,0.55988284,2,1.6,0.111571776,P. ponderosa
170,Pipo,2,l,s,234.5,73.71156863,0.578647916,306.6110017,85.11355923,0.640796746,2,1.7,0.081259465,P. ponderosa
171,Pipo,2,l,s,221.0625,62.7297561,0.629804776,282.0470864,61.80342435,0.759057628,2,1.7,0.081259465,P. ponderosa
172,Abco,0,h,n,87.96666667,NA,NA,176.3895403,NA,NA,NA,NA,NA,A. concolor
173,Abco,0,h,n,88.07666667,NA,NA,153.2123953,NA,NA,NA,NA,NA,A. concolor
174,Abco,1,h,n,80.56,14.43615385,1.719266505,176.047477,24.22784659,1.983251057,2,1.6,0.223143551,A. concolor
175,Abco,2,h,n,82.50666667,15.73970149,0.82834641,140.9286616,27.62506785,0.8147651,2,1.3,0.215391458,A. concolor
176,Abco,2,h,n,75.1625,17.26940299,0.735358057,125.4229234,30.77256662,0.702533908,2,1.3,0.215391458,A. concolor
177,Abco,2,h,n,62.532,21.59512821,0.531605341,115.8267318,31.09208235,0.657571092,2,1.3,0.215391458,A. concolor
178,Cade,2,h,n,102.3766667,8.125063291,1.266852652,134.3150035,8.358353411,1.388463183,2,1,0.34657359,C. decurrens
179,Cade,2,h,n,93.7,9.458409091,1.146596996,128.354798,13.09327998,1.141349584,2,0.9,0.399253848,C. decurrens
180,Cade,2,h,n,90.856,10.95031496,1.057953808,116.0068674,13.15422863,1.088453058,2,1.1,0.2989185,C. decurrens
181,Cade,1,h,n,95.2,8.447806122,2.422073165,113.0992566,10.28941276,2.397150331,2,1.3,0.430782916,C. decurrens
182,Cade,0,h,n,83.455,NA,NA,126.4011594,NA,NA,NA,NA,NA,C. decurrens
183,Cade,1,h,n,81.075,12.11088608,1.901269928,107.3702848,15.1190508,1.960327875,2,1.3,0.430782916,C. decurrens
184,Pipo,2,h,n,195.7142857,72.1232,0.499140051,248.3436877,68.73611817,0.642269413,2,1.2,0.255412812,P. ponderosa
185,Pipo,2,h,n,200.75,91.6016,0.392305807,265.6462482,85.17843292,0.568708631,2,1.4,0.178337472,P. ponderosa
186,Pipo,2,h,n,182.8333333,79.19413043,0.418336403,275.6814267,102.7623299,0.493413552,2,1.4,0.178337472,P. ponderosa
187,Pipo,1,h,n,181.5555556,78.95454545,0.832689385,277.2421344,99.30702947,1.026674897,2,1.6,0.223143551,P. ponderosa
188,Pipo,0,h,n,187.75,NA,NA,254.9994114,NA,NA,NA,NA,NA,P. ponderosa
